,Strike,OI
0,3150.0,14381
1,3050.0,16180
2,3050.0,18964
3,3100.0,18706
4,3150.0,17263
5,3100.0,32082
6,3000.0,45471
7,2900.0,28732
8,3200.0,22993
9,3250.0,19659
10,3300.0,18190
11,3200.0,20528
12,3300.0,18195
13,3300.0,14052
14,3225.0,12552
15,3250.0,13630
16,3325.0,8517
17,3300.0,8948
18,3060.0,8904
19,3100.0,9371
20,3100.0,9458
21,3200.0,10892
22,3150.0,10845
23,3225.0,9801
24,2950.0,8858
25,3000.0,14742
26,2950.0,12132
27,2900.0,11825
28,3000.0,10872
