,Strike,OI
0,3725.0,2033
1,3750.0,2401
2,3500.0,23498
3,3650.0,6023
4,3700.0,6248
5,3700.0,3127
6,3625.0,2041
7,3450.0,11581
8,3600.0,12424
9,3600.0,3076
10,3550.0,5057
11,3525.0,3307
12,3500.0,5092
13,3475.0,7042
14,3500.0,8175
15,3500.0,2591
16,3450.0,4417
17,3450.0,4255
18,3450.0,2116
