Strike,G_S,G_SS,Strike
1740.0,-1.1454593871196295,-109918.20383835684,1740.0
1750.0,-241.19199920605294,-23144767.619895488,1750.0
1760.0,-1.239279577625041,-118921.18285279331,1760.0
1770.0,-0.9648367664816249,-92585.66961116742,1770.0
1775.0,-67.47072944130599,-6474486.546835167,1775.0
1780.0,-1.8534586938567799,-177857.76851470955,1780.0
1790.0,-1.304126657108995,-125143.90413055342,1790.0
1800.0,-824.8482413722654,-79152380.39024238,1800.0
1810.0,-1.4833455515839145,-142341.7368918836,1810.0
1820.0,-1.1116726855581183,-106676.03428522884,1820.0
1825.0,-118.50964962567545,-11372177.809920728,1825.0
1830.0,-1.3555710864920911,-130080.50802839949,1830.0
1840.0,-1.3259052513703296,-127233.77653480326,1840.0
1850.0,-261.45251987233496,-25088965.78659578,1850.0
1860.0,-1.675317157612266,-160763.31897491327,1860.0
1870.0,-1.51843548895636,-145708.96486360466,1870.0
1875.0,-182.02309959253205,-17466924.091139257,1875.0
1880.0,-2.689698582913902,-258103.29063163287,1880.0
1890.0,-1.8308059840932422,-175684.01604711587,1890.0
1900.0,-933.6507448913719,-89593061.1288321,1900.0
1910.0,-2.848291069834641,-273321.8147457184,1910.0
1920.0,-1.6561029476114264,-158919.52470755292,1920.0
1925.0,-159.90495569284667,-15344468.526996402,1925.0
1930.0,-1.4110960883939594,-135408.68338389753,1930.0
1940.0,-1.7816770691292394,-170969.6087533315,1940.0
1950.0,-414.8086182482955,-39805006.41683722,1950.0
1960.0,-4.390032712686676,-421267.2365307987,1960.0
1970.0,-3.5308409198631097,-338819.2513103844,1970.0
1975.0,-132.34382574067726,-12699704.396409545,1975.0
1980.0,-5.933027604515528,-569332.9200013154,1980.0
1990.0,-6.336846308213628,-608083.3349753848,1990.0
2000.0,-2212.095504651866,-212272532.15992248,2000.0
2010.0,-11.053884202638642,-1060729.9662072891,2010.0
2020.0,-7.679851522113257,-736958.0227359018,2020.0
2025.0,-223.24310644206147,-21422393.107372347,2025.0
2030.0,-8.516659813773142,-817258.0887274097,2030.0
2040.0,-6.4222910740041605,-616282.608811449,2040.0
2050.0,-648.4843833023667,-62228516.725557484,2050.0
2060.0,-13.677177703425025,-1312461.029734869,2060.0
2070.0,-8.866971590609785,-850873.982687765,2070.0
2075.0,-458.0845066444739,-43957757.68458717,2075.0
2080.0,-12.484807617035854,-1198041.2784278803,2080.0
2090.0,-6.258830191202547,-600596.9137641843,2090.0
2100.0,-1697.0322993621126,-162847102.48053408,2100.0
2110.0,-8.979343426973596,-861657.1763601197,2110.0
2120.0,-5.559038702335206,-533444.9707249028,2120.0
2125.0,-336.0232545083497,-32244768.34255443,2125.0
2130.0,-8.148113180256322,-781892.3791768438,2130.0
2140.0,-27.367580875736763,-2626191.1745525557,2140.0
2150.0,-867.3360514094147,-83229507.71297744,2150.0
2160.0,-6.277568428636471,-602395.0337368293,2160.0
2170.0,-13.553238863261985,-1300567.8671751842,2170.0
2175.0,-566.4378315151653,-54355335.27103415,2175.0
2180.0,-14.675593072888127,-1408268.8997737677,2180.0
2190.0,-12.093592744677473,-1160500.3262404639,2190.0
2200.0,-2871.778246515397,-275575642.60117364,2200.0
2210.0,-18.969318143935432,-1820294.4616507604,2210.0
2220.0,-13.760442781174387,-1320451.1408567359,2220.0
2225.0,-368.1859623813622,-35331099.57326624,2225.0
2230.0,-14.028789539710651,-1346201.6773103436,2230.0
2240.0,-26.424694125448678,-2535711.8269824376,2240.0
2250.0,-1690.751226052556,-162244371.11866572,2250.0
2260.0,-19.780297311200457,-1898115.966645584,2260.0
2270.0,-22.924296992909987,-2199813.9594053966,2270.0
2275.0,-511.8679840790952,-49118816.47224104,2275.0
2280.0,-18.715118574819112,-1795901.4885188094,2280.0
2290.0,-15.789137850885648,-1515124.5799204493,2290.0
2295.0,-9.712951412055304,-932054.1480453637,2295.0
2300.0,-2734.977209574191,-262448224.5251701,2300.0
2305.0,-5.727090122142897,-549571.1733868729,2305.0
2310.0,-23.768445011285166,-2280818.3450666205,2310.0
2315.0,-7.1904861080884785,-689998.5513351058,2315.0
2320.0,-39.865407345462955,-3825481.7411872894,2320.0
2325.0,-762.556247551116,-73174844.9565783,2325.0
2330.0,-20.458773044240708,-1963222.451224865,2330.0
2335.0,-11.518226157747335,-1105288.1882152145,2335.0
2340.0,-26.883784919107256,-2579766.14789954,2340.0
2345.0,-7.187118792661984,-689675.4239788683,2345.0
2350.0,-1956.2999503195956,-187726408.39665058,2350.0
2355.0,-6.190120326543536,-594003.5198872642,2355.0
2360.0,-41.35589937614981,-3968509.253721326,2360.0
2365.0,-8.045059457950643,-772003.3510872656,2365.0
2370.0,-16.816138257214064,-1613675.468126748,2370.0
2375.0,-702.3729202711993,-67399657.0188731,2375.0
2380.0,-78.46736662786569,-7529723.093325213,2380.0
2385.0,-5.311863529922078,-509726.05821644067,2385.0
2390.0,-28.739638896491115,-2757853.7676564157,2390.0
2395.0,-4.974997467321884,-477400.4140674826,2395.0
2400.0,-4271.162587426657,-409860467.5038518,2400.0
2405.0,-4.353719190275385,-417782.5934230844,2405.0
2410.0,-68.94588640449228,-6616042.507348805,2410.0
2415.0,-8.319200223594336,-798309.8800635563,2415.0
2420.0,-50.320224334210465,-4828725.258839694,2420.0
2425.0,-752.5229832512359,-72212053.6058945,2425.0
2430.0,-27.109280439807648,-2601404.6825238965,2430.0
2435.0,-14.522609451894652,-1393588.602047477,2435.0
2440.0,-38.57516334571098,-3701670.015899867,2440.0
2445.0,-6.210049805055462,-595915.9512716493,2445.0
2450.0,-2561.806136345435,-245830740.27378172,2450.0
2455.0,-15.332298381354192,-1471286.2959114145,2455.0
2460.0,-118.93318994615765,-11412820.709882103,2460.0
2465.0,-286.89020745464865,-27529964.533727422,2465.0
2470.0,-44.465107110092106,-4266868.613571396,2470.0
2475.0,-987.1023135343826,-94722269.97171947,2475.0
2480.0,-45.67535923377663,-4383004.3239447465,2480.0
2485.0,-5.488659256869255,-526691.3639888229,2485.0
2490.0,-97.75068337075643,-9380148.838889683,2490.0
2495.0,-20.21397600504571,-1939731.7442161038,2495.0
2500.0,-5742.357282384481,-551036209.0313812,2500.0
2505.0,-16.691615698061213,-1601726.2919330336,2505.0
2510.0,-127.54881201115786,-12239575.20941639,2510.0
2515.0,-14.983371251497957,-1437803.2725798637,2515.0
2520.0,-324.07171618753506,-31097899.549036894,2520.0
2525.0,-1861.763516048609,-178654698.67983595,2525.0
2530.0,-113.7500475847375,-10915446.72612313,2530.0
2535.0,-8.575648242636902,-822918.6142954577,2535.0
2540.0,-193.939660786846,-18610436.48200856,2540.0
2545.0,-18.145058315433005,-1741198.5453189516,2545.0
2550.0,-2738.3085632947113,-262767900.99858105,2550.0
2555.0,-27.14324371755339,-2604663.7963154926,2555.0
2560.0,-388.88086834837355,-37316981.32348495,2560.0
2565.0,-42.33276894094473,-4062249.5898292894,2565.0
2570.0,-175.26251267974135,-16818178.63695456,2570.0
2575.0,-2482.956765552324,-238264360.0870889,2575.0
2580.0,-108.39878282475901,-10401939.728586169,2580.0
2585.0,-16.313037436876954,-1565397.9480829202,2585.0
2590.0,-79.96839232926601,-7673761.41617489,2590.0
2595.0,-25.36711421796678,-2434226.531953111,2595.0
